time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170618:1311,561.72,314.18,369.12,16.15,55.8,20.04,4.69,0.0
20170618:1411,0.0,0.0,0.0,0.0,0.0,20.3,4.41,0.0
20170618:1511,566.53,507.48,180.95,16.48,44.1,20.33,4.34,0.0
20170618:1611,325.23,155.08,242.39,10.76,36.16,20.37,4.28,0.0
20170618:1711,174.91,37.97,185.91,6.65,27.81,20.05,4.07,0.0
20170618:1811,95.68,20.64,117.02,5.24,19.48,19.33,3.59,0.0
20170618:1911,31.66,0.0,52.35,1.63,11.55,19.5,3.1,0.0
20170618:2011,7.92,0.0,20.14,0.63,4.34,18.47,2.62,0.0
20170618:2111,0.0,0.0,0.0,0.0,0.0,17.33,2.0,0.0
20170618:2211,0.0,0.0,0.0,0.0,0.0,16.32,1.79,0.0
20170618:2311,0.0,0.0,0.0,0.0,0.0,15.5,1.72,0.0
20170619:0011,0.0,0.0,0.0,0.0,0.0,14.81,1.79,0.0
20170619:0111,0.0,0.0,0.0,0.0,0.0,14.68,1.66,0.0
20170619:0211,0.0,0.0,0.0,0.0,0.0,14.49,1.66,0.0
20170619:0311,0.0,0.0,0.0,0.0,0.0,14.27,1.66,0.0
20170619:0411,3.59,0.0,12.89,0.4,3.88,13.97,1.72,0.0
20170619:0511,39.07,0.0,60.41,1.88,11.02,14.34,1.59,0.0
20170619:0611,69.63,45.22,72.61,6.5,18.91,15.71,1.72,0.0
20170619:0711,234.64,197.69,106.57,10.11,27.22,17.0,2.34,0.0
20170619:0811,379.36,263.41,196.58,12.32,35.59,18.1,3.31,0.0
20170619:0911,477.33,303.09,271.71,14.17,43.58,18.86,4.28,0.0
20170619:1011,671.93,605.27,212.35,18.49,50.55,19.57,4.97,0.0
20170619:1111,615.24,398.64,347.37,17.18,55.56,19.73,5.45,0.0
20170619:1211,596.86,351.24,372.74,16.86,57.52,19.82,5.38,0.0
20170619:1311,630.09,428.87,339.31,17.56,55.83,20.04,5.03,0.0
20170619:1411,706.25,706.63,158.31,19.42,51.0,20.17,4.83,0.0
20170619:1511,536.28,423.43,225.31,15.65,44.14,20.05,4.69,0.0
20170619:1611,361.91,217.35,222.57,11.79,36.21,19.7,4.28,0.0
20170619:1711,209.79,88.2,179.47,8.2,27.85,19.21,3.17,0.0
20170619:1811,95.05,10.7,121.79,4.46,19.52,18.19,1.66,0.0
20170619:1911,14.18,0.0,29.0,0.9,11.59,16.23,1.86,0.0
20170619:2011,8.08,0.0,20.14,0.63,4.38,15.07,2.0,0.0
20170619:2111,0.0,0.0,0.0,0.0,0.0,14.12,1.79,0.0
20170619:2211,0.0,0.0,0.0,0.0,0.0,13.57,1.45,0.0
20170619:2311,0.0,0.0,0.0,0.0,0.0,12.79,1.03,0.0
20170620:0011,0.0,0.0,0.0,0.0,0.0,12.69,0.62,0.0
20170620:0111,0.0,0.0,0.0,0.0,0.0,12.69,0.28,0.0
20170620:0211,0.0,0.0,0.0,0.0,0.0,12.64,0.28,0.0
20170620:0311,0.0,0.0,0.0,0.0,0.0,12.13,0.62,0.0
20170620:0411,1.87,0.0,9.67,0.3,3.87,11.74,0.9,0.0
20170620:0511,38.76,0.0,59.6,1.86,11.01,12.44,1.17,0.0
20170620:0611,92.55,8.81,117.48,4.26,18.9,12.73,1.52,0.0
20170620:0711,221.89,119.82,158.64,8.8,27.2,13.05,2.28,0.0
20170620:0811,260.44,66.49,246.55,8.7,35.57,13.59,2.62,0.0
20170620:0911,284.82,52.41,287.89,9.33,43.56,13.81,2.9,0.0
20170620:1011,376.04,103.08,343.46,11.74,50.54,14.09,3.03,0.0
20170620:1111,675.84,508.61,308.71,18.36,55.56,14.42,3.17,0.0
20170620:1211,813.76,854.53,149.34,21.6,57.53,14.83,3.1,0.0
20170620:1311,623.28,410.28,344.45,17.33,55.85,15.42,3.03,0.0
